sentence_id,per_language_id,raw_text,has_english,jieba_seg,spacy_seg,stanza_seg,jieba_spacy_agree,jieba_stanza_agree,spacy_stanza_agree,all_agree,jieba_parsed,jieba_readings,jieba_time_s,jieba_ram_kb,jieba_edges,spacy_parsed,spacy_readings,spacy_time_s,spacy_ram_kb,spacy_edges,stanza_parsed,stanza_readings,stanza_time_s,stanza_ram_kb,stanza_edges,jieba_ace_input,spacy_ace_input,stanza_ace_input
3468,442,而另 一边，在经过了深思熟虑之后，地球政府派来了一支科学考察队，来到这所废弃的空间站进行更 深入的调查。,False,而 另   一边 ， 在 经过 了 深思熟虑 之后 ， 地球 政府 派来 了 一支 科学 考察队 ， 来到 这所 废弃 的 空间站 进行 更   深入 的 调查 。,而 另 一边 ， 在 经过 了 深思熟虑 之后 ， 地球 政府 派来 了 一 支 科学 考察队 ， 来到 这 所 废弃 的 空间站 进行 更 深入 的 调查 。,而另 一边 ， 在 经过 了 深思 熟虑 之后 ， 地球 政府 派来 了 一 支 科学 考察 队 ， 来到 这 所 废弃 的 空间 站 进行 更 深入 的 调查 。,False,False,False,False,False,0,0.0,0,0,False,0,0.74794,122123,13693,False,0,0.0,0,0,而 另   一边 ， 在 经过 了 深思熟虑 之后 ， 地球 政府 派来 了 一支 科学 考察队 ， 来到 这所 废弃 的 空间站 进行 更   深入 的 调查 。,而 另 一边 ， 在 经过 了 深思熟虑 之后 ， 地球 政府 派来 了 一 支 科学 考察队 ， 来到 这 所 废弃 的 空间站 进行 更 深入 的 调查 。,而另 一边 ， 在 经过 了 深思 熟虑 之后 ， 地球 政府 派来 了 一 支 科学 考察 队 ， 来到 这 所 废弃 的 空间 站 进行 更 深入 的 调查 。
438,109,医院称，这两名男孩抵达当天在不明原因的情况下食用了毒蘑菇。,False,医院 称 ， 这 两名 男孩 抵达 当天 在 不明 原因 的 情况 下 食用 了 毒蘑菇 。,医院 称 ， 这 两 名 男孩 抵达 当天 在 不明 原因 的 情况 下 食用 了 毒 蘑菇 。,医院 称 ， 这 两 名 男孩 抵达 当天 在 不明 原因 的 情况 下 食用 了 毒蘑 菇 。,False,False,False,False,False,0,0.21181,40362,4672,False,0,0.40735,81303,8615,False,0,0.39589,85197,9001,医院 称 ， 这 两名 男孩 抵达 当天 在 不明 原因 的 情况 下 食用 了 毒蘑菇 。,医院 称 ， 这 两 名 男孩 抵达 当天 在 不明 原因 的 情况 下 食用 了 毒 蘑菇 。,医院 称 ， 这 两 名 男孩 抵达 当天 在 不明 原因 的 情况 下 食用 了 毒蘑 菇 。
9068,825,就像在聚会里一起聊天的朋友们，大家离得很近，但没有固定的位置。,False,就 像 在 聚会 里 一起 聊天 的 朋友 们 ， 大家 离得 很 近 ， 但 没有 固定 的 位置 。,就 像 在 聚会 里 一起 聊天 的 朋友们 ， 大家 离 得 很 近 ， 但 没有 固定 的 位置 。,就 像 在 聚会 里 一起 聊天 的 朋友 们 ， 大家 离得 很近 ， 但 没有 固定 的 位置 。,False,False,False,False,False,-1,10,0,0,False,-1,10,0,0,False,0,0.0,0,0,就 像 在 聚会 里 一起 聊天 的 朋友 们 ， 大家 离得 很 近 ， 但 没有 固定 的 位置 。,就 像 在 聚会 里 一起 聊天 的 朋友们 ， 大家 离 得 很 近 ， 但 没有 固定 的 位置 。,就 像 在 聚会 里 一起 聊天 的 朋友 们 ， 大家 离得 很近 ， 但 没有 固定 的 位置 。
8040,766,将发酵好的面团放入烤箱，烤约 25-30 分钟，直到面包表面呈金黄色。,False,将 发酵 好 的 面团 放入 烤箱 ， 烤 约   25 - 30   分钟 ， 直到 面包 表面 呈 金黄色 。,将 发酵 好的 面团 放入 烤箱 ， 烤约 25 - 30 分钟 ， 直到 面包 表面 呈金 黄色 。,将 发酵 好 的 面团 放入 烤 箱 ， 烤约 25-30 分钟 ， 直到 面包 表面 呈 金 黄色 。,False,False,False,False,False,0,0.0,0,0,False,0,0.0,0,0,False,0,0.24221,52932,6203,将 发酵 好 的 面团 放入 烤箱 ， 烤 约   25 - 30   分钟 ， 直到 面包 表面 呈 金黄色 。,将 发酵 好的 面团 放入 烤箱 ， 烤约 25 - 30 分钟 ， 直到 面包 表面 呈金 黄色 。,将 发酵 好 的 面团 放入 烤 箱 ， 烤约 25-30 分钟 ， 直到 面包 表面 呈 金 黄色 。
7347,716,Musk 共有九个孩子，其中包括他与 Justine Wilson 所生的孩子。,True,Musk   共有 九个 孩子 ， 其中 包括 他 与   Justine   Wilson   所生 的 孩子 。,Musk 共有 九 个 孩子 ， 其中 包括 他 与 Justine Wilson 所 生 的 孩子 。,Musk 共有 九 个 孩子 ， 其中 包括 他 与 Justine Wilson 所生 的 孩子 。,False,False,False,False,False,0,0.0,0,0,True,1,0.36049,59709,6468,False,0,0.0,0,0,Musk   共有 九个 孩子 ， 其中 包括 他 与   Justine   Wilson   所生 的 孩子 。,Musk 共有 九 个 孩子 ， 其中 包括 他 与 Justine Wilson 所 生 的 孩子 。,Musk 共有 九 个 孩子 ， 其中 包括 他 与 Justine Wilson 所生 的 孩子 。
4458,513,水晶石的能力便是能将它的承载者传送到遥远的地方——也就是村子所在的这片土地。,False,水晶石 的 能力 便是 能 将 它 的 承载 者 传送 到 遥远 的 地方 — — 也 就是 村子 所在 的 这片 土地 。,水晶石 的 能力 便 是 能 将 它 的 承载者 传送 到 遥远 的 地方 —— 也 就是 村子 所在 的 这 片 土地 。,水晶 石 的 能力 便是 能 将 它 的 承载 者 传送 到 遥远 的 地方 — — 也 就是 村子 所 在 的 这 片 土地 。,False,False,False,False,False,0,0.0,0,0,False,-1,10,0,0,False,0,0.0,0,0,水晶石 的 能力 便是 能 将 它 的 承载 者 传送 到 遥远 的 地方 — — 也 就是 村子 所在 的 这片 土地 。,水晶石 的 能力 便 是 能 将 它 的 承载者 传送 到 遥远 的 地方 —— 也 就是 村子 所在 的 这 片 土地 。,水晶 石 的 能力 便是 能 将 它 的 承载 者 传送 到 遥远 的 地方 — — 也 就是 村子 所 在 的 这 片 土地 。
3148,423,那是一道微弱的光，但也足以照亮周围的一切。,False,那 是 一道 微弱 的 光 ， 但 也 足以 照亮 周围 的 一切 。,那 是 一道 微弱 的 光 ， 但 也 足以 照亮 周围 的 一切 。,那 是 一 道 微弱 的 光 ， 但 也 足 以 照亮 周围 的 一切 。,True,False,False,False,True,1,0.68241,138381,14114,True,1,0.68241,138381,14114,True,1,1.48824,289133,28018,那 是 一道 微弱 的 光 ， 但 也 足以 照亮 周围 的 一切 。,那 是 一道 微弱 的 光 ， 但 也 足以 照亮 周围 的 一切 。,那 是 一 道 微弱 的 光 ， 但 也 足 以 照亮 周围 的 一切 。
17771,1429,云朵：也许这就是我想放假的原因——我想交些朋友。,False,云朵 ： 也许 这 就是 我 想 放假 的 原因 — — 我 想 交些 朋友 。,云朵 ： 也许 这就 是 我 想 放假 的 原因 —— 我 想 交些 朋友 。,云朵 ： 也许 这 就是 我 想 放假 的 原因 — — 我 想 交些 朋友 。,False,True,False,False,False,0,0.53612,109403,11184,True,1,2.1868,345674,34196,False,0,0.53612,109403,11184,云朵 ： 也许 这 就是 我 想 放假 的 原因 — — 我 想 交些 朋友 。,云朵 ： 也许 这就 是 我 想 放假 的 原因 —— 我 想 交些 朋友 。,云朵 ： 也许 这 就是 我 想 放假 的 原因 — — 我 想 交些 朋友 。
2609,371,当他试图从巨石脱身时，看到了一条受伤的美人鱼倒在岩石上。,False,当 他 试图 从 巨石 脱身 时 ， 看到 了 一条 受伤 的 美人鱼 倒 在 岩石 上 。,当 他 试图 从 巨石 脱身 时 ， 看到 了 一 条 受伤 的 美人 鱼倒 在 岩石 上 。,当他 试图 从 巨石 脱身 时 ， 看到 了 一 条 受伤 的 美 人鱼 倒在 岩石 上 。,False,False,False,False,False,0,0.69349,64997,7558,False,0,0.40566,69764,7781,False,0,0.0,0,0,当 他 试图 从 巨石 脱身 时 ， 看到 了 一条 受伤 的 美人鱼 倒 在 岩石 上 。,当 他 试图 从 巨石 脱身 时 ， 看到 了 一 条 受伤 的 美人 鱼倒 在 岩石 上 。,当他 试图 从 巨石 脱身 时 ， 看到 了 一 条 受伤 的 美 人鱼 倒在 岩石 上 。
20172,1503,一副常见的完整麻将有 144 张牌，分成几种不同的种类，比如万、条、筒，还有风牌、箭牌和花牌等。,False,一副 常见 的 完整 麻将 有   144   张牌 ， 分成 几种 不同 的 种类 ， 比如 万 、 条 、 筒 ， 还有 风牌 、 箭牌 和 花牌 等 。,一 副 常见 的 完整 麻将 有 144 张牌 ， 分成 几 种 不同 的 种类 ， 比如 万 、 条 、 筒 ， 还有 风牌 、 箭牌 和 花牌 等 。,一 副 常见 的 完整 麻将 有 144 张牌 ， 分成 几 种 不同 的 种类 ， 比如 万 、 条 、 筒 ， 还 有 风牌 、 箭牌 和 花牌 等 。,False,False,False,False,False,0,1.51701,206226,20143,False,0,2.08416,334539,31665,False,0,2.22688,334539,31665,一副 常见 的 完整 麻将 有   144   张牌 ， 分成 几种 不同 的 种类 ， 比如 万 、 条 、 筒 ， 还有 风牌 、 箭牌 和 花牌 等 。,一 副 常见 的 完整 麻将 有 144 张牌 ， 分成 几 种 不同 的 种类 ， 比如 万 、 条 、 筒 ， 还有 风牌 、 箭牌 和 花牌 等 。,一 副 常见 的 完整 麻将 有 144 张牌 ， 分成 几 种 不同 的 种类 ， 比如 万 、 条 、 筒 ， 还 有 风牌 、 箭牌 和 花牌 等 。
